Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
28.00 < Age <= 37.00,Private,High School grad,Married,Service,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Professional,Not-in-family,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Sales,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Federal-gov,High School grad,Separated,White-Collar,Unmarried,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Associates,Separated,Sales,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,State-gov,High School grad,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Wife,White,Female,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,Associates,Married,Other,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Admin,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Bachelors,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Other-relative,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Other,Other-relative,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,High School grad,Widowed,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Separated,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Other,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Separated,Blue-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Separated,Professional,Not-in-family,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Married,Sales,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,High School grad,Never-Married,Other,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Other,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Federal-gov,High School grad,Never-Married,White-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Service,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Sales,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Masters,Married,Sales,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Sales,Husband,White,Male,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Bachelors,Separated,Sales,Own-child,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,State-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,?,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,High School grad,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,Masters,Never-Married,White-Collar,Not-in-family,White,Female,Low,None,40.00 < Hours per week <= 45.00,Euro_1,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Other,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,Masters,Never-Married,Professional,Not-in-family,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Admin,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
Age > 48.00,?,Associates,Separated,?,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Sales,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Widowed,Service,Not-in-family,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,State-gov,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,Associates,Separated,White-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,White-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,Dropout,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,?,Dropout,Never-Married,?,Own-child,White,Female,High,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Service,Unmarried,Black,Female,None,None,Hours per week <= 40.00,?,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Service,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Service,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,?,High School grad,Separated,?,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Separated,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Federal-gov,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Separated,Blue-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,Sales,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Local-gov,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Widowed,White-Collar,Unmarried,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,State-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Masters,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age > 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,Black,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Associates,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,State-gov,Masters,Married,Professional,Wife,Black,Female,None,Low,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Dropout,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Masters,Separated,Professional,Not-in-family,White,Female,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,Doctorate,Separated,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Admin,Own-child,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,SE-Asia,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Service,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Separated,White-Collar,Not-in-family,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,White-Collar,Other-relative,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,?,"Less than $50,000"
Age > 48.00,Private,Dropout,Separated,Admin,Not-in-family,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Blue-Collar,Wife,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,China,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,Prof-School,Married,Professional,Husband,White,Male,None,High,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,Low,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,State-gov,High School grad,Married,Other,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,?,Dropout,Never-Married,?,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,Amer-Indian-Eskimo,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Separated,White-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,State-gov,Bachelors,Separated,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Prof-School,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Service,Unmarried,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Unmarried,Black,Female,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
Age > 48.00,State-gov,High School grad,Separated,Admin,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Federal-gov,High School grad,Married,White-Collar,Wife,Asian-Pac-Islander,Female,None,Low,Hours per week <= 40.00,SE-Asia,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Professional,Husband,Black,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,State-gov,High School grad,Separated,Blue-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,Associates,Never-Married,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,Bachelors,Married,White-Collar,Husband,Asian-Pac-Islander,Male,None,None,40.00 < Hours per week <= 45.00,China,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Female,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,Bachelors,Married,Other,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Masters,Separated,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Doctorate,Separated,Professional,Other-relative,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Married,Other,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,?,High School grad,Never-Married,?,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Doctorate,Separated,Professional,Unmarried,White,Female,High,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,State-gov,Bachelors,Married,White-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Prof-School,Widowed,Professional,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,Euro_1,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Separated,Professional,Unmarried,Amer-Indian-Eskimo,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Local-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Admin,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Married,Sales,Husband,White,Male,High,None,Hours per week > 45.00,South-America,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Service,Husband,Amer-Indian-Eskimo,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Masters,Married,Professional,Husband,Asian-Pac-Islander,Male,None,High,Hours per week > 45.00,China,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Sales,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Masters,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Masters,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Separated,White-Collar,Unmarried,White,Female,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Not-in-family,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,Euro_1,"More than $50,000"
Age > 48.00,Federal-gov,Bachelors,Separated,Professional,Not-in-family,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Married,Service,Husband,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Federal-gov,Bachelors,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,Associates,Married,Admin,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
